cmp,Appointments,Reinstatements,GrossActiveStaffCount,NroReps,AwardSalesAmount,DiscountAmount,GrossUnits,ShortUnits
20140301,"3,553","10,381","220,376","389,975","45,601,867,593.71","7,513,898,877.11","4,378,080","7,052"
20140302,"10,178","18,404","231,509","400,055","47,014,563,564.07","7,804,058,485.28","4,714,336","53,863"
20140303,"31,009","18,628","238,506","436,013","50,085,587,957.83","8,569,505,442.12","5,057,948","25,490"
20140304,"7,479","17,039","236,989","437,019","53,952,647,940.33","9,370,569,566.10","4,729,819","23,634"
20140305,"9,430","14,198","241,015","445,106","56,031,487,248.32","9,693,268,141.15","4,999,161","50,420"
20140306,"9,956","17,834","231,015","454,452","54,094,847,297.86","9,811,604,214.38","5,048,184","35,758"
20140307,"24,878","13,249","244,865","477,245","61,602,573,269.62","10,358,331,076.17","5,401,859","31,472"
20140308,"13,755","15,432","248,643","488,805","57,941,083,093.88","10,000,382,990.34","5,280,508","43,930"
20140309,"12,859","12,609","234,063","500,935","55,331,126,630.45","10,411,274,949.30","4,796,104","41,085"
20140310,"8,259","13,865","241,045","509,739","52,166,277,479.97","8,791,257,949.01","4,809,968","41,952"
20140311,"7,131","19,114","222,469","516,306","45,957,431,266.24","7,985,536,031.84","4,671,147","30,226"
20140312,"31,127","9,754","236,653","542,001","52,487,336,855.50","9,543,750,038.00","5,144,258","8,902"
20140313,"28,344","14,101","254,090","566,072","54,483,590,514.19","10,099,211,525.26","4,988,139","17,988"
20140314,"7,703","17,892","245,764","573,336","53,839,118,138.81","9,382,622,616.70","4,983,383","14,083"
20140315,"21,142","11,454","247,489","591,337","53,795,814,080.11","9,934,269,220.33","5,158,412","4,625"
20140316,"17,391","11,954","231,692","606,326","50,293,776,036.48","8,277,695,035.64","4,695,353","2,450"
20140317,"7,758","17,222","244,432","613,203","54,882,367,900.13","9,966,480,767.37","5,174,280","10,631"
20140318,"17,003","14,374","239,134","627,734","60,116,516,880.28","11,345,905,112.48","6,465,871","52,515"
20140319,"12,336","11,904","226,955","638,377","52,536,506,888.38","9,305,555,738.32","5,707,469","17,634"
20150301,"5,807","17,261","217,055","643,195","42,949,627,390.60","7,216,326,385.02","4,125,885","5,141"
20150302,"10,232","17,716","224,821","650,365","48,084,998,002.91","8,769,859,190.22","4,623,120","10,652"
20150303,"17,536","14,758","228,097","663,954","50,206,014,126.71","9,473,513,143.25","5,148,384","15,788"
20150304,"22,273","13,765","235,849","681,671","51,740,903,145.92","8,950,175,499.22","4,922,053","12,687"
20150305,"7,877","16,101","233,095","688,362","50,343,096,109.02","8,786,829,632.86","4,661,677","11,907"
20150306,"15,979","12,407","231,028","701,035","52,310,789,324.53","9,765,031,346.78","5,577,652","12,740"
