cmp,Appointments,Reinstatements,GrossActiveStaffCount,Reps,AwardSalesAmount,DiscountAmount,GrossUnits,ShortUnits
20140301,3553.00,10381.00,220376.00,389975.00,45601867593.71,7513898877.11,4378080.00,7052.00
20140302,10178.00,18404.00,231509.00,400055.00,47014563564.07,7804058485.28,4714336.00,53863.00
20140303,31009.00,18628.00,238506.00,436013.00,50085587957.83,8569505442.12,5057948.00,25490.00
20140304,7479.00,17039.00,236989.00,437019.00,53952647940.33,9370569566.10,4729819.00,23634.00
20140305,9430.00,14198.00,241015.00,445106.00,56031487248.32,9693268141.15,4999161.00,50420.00
20140306,9956.00,17834.00,231015.00,454452.00,54094847297.86,9811604214.38,5048184.00,35758.00
20140307,24878.00,13249.00,244865.00,477245.00,61602573269.62,10358331076.17,5401859.00,31472.00
20140308,13755.00,15432.00,248643.00,488805.00,57941083093.88,10000382990.34,5280508.00,43930.00
20140309,12859.00,12609.00,234063.00,500935.00,55331126630.45,10411274949.30,4796104.00,41085.00
20140310,8259.00,13865.00,241045.00,509739.00,52166277479.97,8791257949.01,4809968.00,41952.00
20140311,7131.00,19114.00,222469.00,516306.00,45957431266.24,7985536031.84,4671147.00,30226.00
20140312,31127.00,9754.00,236653.00,542001.00,52487336855.50,9543750038.00,5144258.00,8902.00
20140313,28344.00,14101.00,254090.00,566072.00,54483590514.19,10099211525.26,4988139.00,17988.00
20140314,7703.00,17892.00,245764.00,573336.00,53839118138.81,9382622616.70,4983383.00,14083.00
20140315,21142.00,11454.00,247489.00,591337.00,53795814080.11,9934269220.33,5158412.00,4625.00
20140316,17391.00,11954.00,231692.00,606326.00,50293776036.48,8277695035.64,4695353.00,2450.00
20140317,7758.00,17222.00,244432.00,613203.00,54882367900.13,9966480767.37,5174280.00,10631.00
20140318,17003.00,14374.00,239134.00,627734.00,60116516880.28,11345905112.48,6465871.00,52515.00
20140319,12336.00,11904.00,226955.00,638377.00,52536506888.38,9305555738.32,5707469.00,17634.00
20150301,5807.00,17261.00,217055.00,643195.00,42949627390.60,7216326385.02,4125885.00,5141.00
20150302,10232.00,17716.00,224821.00,650365.00,48084998002.91,8769859190.22,4623120.00,10652.00
20150303,17536.00,14758.00,228097.00,663954.00,50206014126.71,9473513143.25,5148384.00,15788.00
20150304,22273.00,13765.00,235849.00,681671.00,51740903145.92,8950175499.22,4922053.00,12687.00
20150305,7877.00,16101.00,233095.00,688362.00,50343096109.02,8786829632.86,4661677.00,11907.00
20150306,15979.00,12407.00,231028.00,701035.00,52310789324.53,9765031346.78,5577652.00,12740.00
20150307,15737.00,19426.00,245021.00,714100.00,57744087204.70,10416831006.38,4899756.00,64346.00
20150308,11504.00,14023.00,239939.00,723626.00,53607768353.46,9245571061.84,4712960.00,15123.00
20150309,14905.00,11466.00,243139.00,735888.00,57549760498.06,10786642075.83,5167932.00,11776.00
