Transaction,Children,Units Sold,Revenue
1,2,5,27.38
2,5,5,14.9
3,2,3,5.52
4,3,4,4.44
5,3,4,14
6,3,3,4.37
7,2,4,13.78
8,2,6,7.34
9,3,1,2.41
10,1,2,8.96
11,0,3,11.82
12,1,5,14.45
13,3,4,19.18
14,3,4,19.5
15,0,5,13.06
16,3,5,12.42
17,1,5,17.65
18,0,3,8.74
19,2,5,7.75
20,5,5,6.66
21,1,4,17.92
22,2,5,12.64
23,2,5,14.48
24,4,4,4.21
25,4,4,14.78
26,2,2,4.49
27,0,5,13.41
28,2,5,3.42
29,2,2,10.8
30,3,4,8.64
31,0,5,21.62
32,1,6,8.74
33,3,4,16.51
34,1,3,1.43
35,3,4,10.94
36,2,2,8.42
37,0,5,7.23
38,4,3,6.07
39,2,5,11.9
40,1,5,13.16
41,5,5,14.05
42,3,6,13.78
43,3,5,26.22
44,1,4,8.58
45,4,4,15.6
46,4,4,2.39
47,3,5,16.37
48,2,5,24.38
49,1,4,9.23
50,1,3,10.85
51,2,5,14.87
52,5,2,3.53
53,2,6,10.21
54,3,5,10.07
55,1,5,14.52
56,5,4,40.83
57,1,4,2.94
58,1,3,23.13
59,3,3,17.95
60,2,3,6.88
61,1,5,6.2
62,2,3,2.78
63,3,6,14.96
64,5,5,34.56
65,3,5,11.05
66,5,4,6.28
67,0,5,4.79
68,1,3,7.28
69,4,4,11.04
70,1,5,5.67
71,3,5,16.39
72,2,5,4.29
73,2,4,23.58
74,2,4,21.47
75,1,3,5.35
76,4,6,17.57
77,0,6,35.26
78,3,3,17.28
79,4,5,8.35
80,3,3,11.04
81,2,4,17.52
82,3,6,16.05
83,3,5,25.27
84,5,4,36.5
85,1,5,17.7
86,4,6,24.9
87,3,4,36.48
88,0,5,6.53
89,4,6,14.06
90,4,5,12.78
91,4,4,1.56
92,5,5,29.63
93,2,4,11.32
94,2,5,1.8
95,0,3,5.04
96,2,4,3.61
97,4,4,12.58
98,2,3,19.49
99,2,6,4.61
100,1,6,11.04
101,3,5,4.68
102,1,3,25.52
103,1,4,6.8
104,4,2,12.7
105,4,3,8.09
106,4,3,7.06
107,4,4,2.86
108,2,4,19.66
109,0,4,5.04
110,2,3,9.94
111,0,4,24.11
112,2,5,29.64
113,4,2,14.76
114,3,4,9.68
115,5,5,23.27
116,4,2,7.15
117,3,3,10.92
118,0,3,10.96
119,2,4,10.13
120,4,3,11.99
121,3,5,27.65
122,4,3,25.2
123,4,5,14.54
124,3,4,11.27
125,5,3,21.87
126,2,4,14.26
127,1,4,11.04
128,3,4,10.43
129,4,5,7.01
130,3,5,9.59
131,3,3,21.53
132,2,5,31.13
133,3,2,6.32
134,5,5,20.4
135,3,4,20.27
136,2,4,19.4
137,4,4,8.06
138,0,2,6.24
139,2,5,12.18
140,1,5,18.84
141,4,5,30.19
142,4,6,4.31
143,0,5,31.7
144,3,4,8.8
145,3,5,4.97
146,1,4,26.5
147,5,3,23.06
148,4,5,15.18
149,4,5,21.22
150,2,4,11.34
151,3,4,11.49
152,3,5,19.12
153,4,2,16.62
154,2,3,12.15
155,4,5,23.27
156,1,5,11.5
157,3,6,29.3
158,3,6,14.02
159,2,4,28.37
160,2,4,22.38
161,4,5,25.65
162,2,5,18.69
163,1,4,16.61
164,2,5,20.22
165,3,2,11.22
166,5,5,29
167,4,6,15.73
168,3,3,2.92
169,4,2,15.33
170,0,1,2.63
171,4,3,6.7
172,2,3,22.53
173,0,6,7.64
174,3,6,6.46
175,5,3,3.02
176,4,3,4.05
177,5,2,6.62
178,2,5,23.32
179,4,3,9.59
180,3,4,4.99
181,3,5,3.63
182,3,3,6.93
183,2,3,16.3
184,1,4,17.46
185,1,3,9.05
186,0,4,2.68
187,1,4,44.78
188,5,6,8.06
189,0,6,2.95
190,4,1,1.65
191,3,3,4.43
192,5,5,5.24
193,1,4,8.3
194,1,4,19.05
195,3,2,7.45
196,0,4,15.22
197,3,4,10.8
198,4,6,30.91
199,5,3,16.79
200,5,3,13.86
201,4,5,6.6
202,4,4,7.49
203,4,4,10.88
204,1,5,9.01
205,2,3,8.63
206,4,3,7.81
207,4,4,2.63
208,3,4,13.68
209,3,3,25.29
210,4,3,13.06
211,2,4,15.12
212,5,3,10.71
213,3,3,6.4
214,4,4,26.68
215,1,3,11.47
216,2,4,8.12
217,2,2,5.34
218,4,3,4.75
219,1,4,4.22
220,5,5,9.13
221,4,3,17.22
222,2,5,2.31
223,2,6,23.92
224,1,5,11.35
225,1,3,26.5
226,1,5,7.04
227,5,3,7.76
228,1,2,5.56
229,3,4,10.72
230,3,5,17.16
231,4,4,6.23
232,4,5,19.52
233,3,2,2.75
234,0,5,3.04
235,3,3,8.66
236,2,4,23.13
237,2,6,7.84
238,1,4,9.87
239,0,5,20.88
240,4,6,4.1
241,3,4,19.44
242,4,3,15.57
243,4,4,19.07
244,1,6,12.69
245,3,5,7.31
246,1,4,13.99
247,1,4,16.8
248,1,5,9.52
249,2,3,30.19
250,4,4,2.46
251,1,3,6.65
252,4,6,18.22
253,4,4,4.56
254,0,4,37.65
255,2,4,5.26
256,0,5,5.04
257,5,3,3.56
258,3,6,15.65
259,0,2,9.72
260,0,2,6.48
261,4,3,9.21
262,0,5,6.28
263,3,6,30.35
264,0,2,8.37
265,3,3,10.69
266,3,6,10.76
267,4,3,12.88
268,2,5,24.44
269,3,4,6.49
270,2,6,31.58
271,3,2,4.09
272,2,5,4.83
273,4,4,15.75
274,2,5,9.96
275,1,5,13.57
276,1,6,12.51
277,5,2,5.73
278,1,5,10.92
279,2,3,18.85
280,5,3,15.34
281,1,3,10.43
282,2,3,7.25
283,2,3,8.46
284,1,2,13.03
285,3,4,5.24
286,2,4,7.83
287,3,4,18.8
288,5,4,15.4
289,3,5,36.92
290,4,5,24.68
291,1,3,5.51
292,1,4,30.46
293,4,4,8.38
294,3,4,28.9
295,5,5,11.92
296,4,5,6.96
297,5,3,6.27
298,3,4,2.81
299,5,3,1.6
